"From Branch","To District","To City","Charge for 1st kg","Charge per additional 1kg"
"Colombo","Colombo","school avenu dehialwa","425","100.00"
"Colombo","Colombo","andreson road dehiwala","425","100.00"
"Colombo","Colombo","bathiya mawatha dehiwala","425","100.00"
"Colombo","Colombo","peters lane dehiwala","425","100.00"
"Colombo","Colombo","wikramarathna avenu dehiwala","425","100.00"
"Colombo","Colombo","dutugemunu street dehiwala","425","100.00"
"Colombo","Colombo","sunethradevi road dehiwala","425","100.00"
"Colombo","Colombo","woodland avenu dehiwala","425","100.00"
"Colombo","Colombo","mudali road dehiwala","425","100.00"
"Colombo","Colombo","vijayamangalarama road dehiwala","425","100.00"
"Colombo","Colombo","Ratmalana","425","100.00"
"Colombo","Colombo","Rathmalana","425","100.00"
"Colombo","Colombo","moratuwa","425","100.00"
"Colombo","Colombo","egoda uyana","425","100.00"
"Colombo","Colombo","katubadda","425","100.00"
"Colombo","Colombo","Lunawa","425","100.00"
"Colombo","Colombo","Borupana","425","100.00"
"Colombo","Colombo","Golumadama Junction","425","100.00"
"Colombo","Colombo","Soysapura","425","100.00"
"Colombo","Colombo","Kaldemulla","425","100.00"
"Colombo","Colombo","Angulana","425","100.00"
"Colombo","Colombo","Lakshapathiya","425","100.00"
"Colombo","Colombo","Katubedda","425","100.00"
"Colombo","Colombo","Molpe","425","100.00"
"Colombo","Colombo","Moratumulla","425","100.00"
"Colombo","Colombo","Rawathawaththa","425","100.00"
"Colombo","Colombo","Idama","425","100.00"
"Colombo","Colombo","WILLORAWATHTHA","425","100.00"
"Colombo","Colombo","Modara moratruwa","425","100.00"
"Colombo","Colombo","Egodauyana","425","100.00"
"Colombo","Colombo","Katukurunda","425","100.00"
"Colombo","Colombo","Moratuwella","425","100.00"
"Colombo","Colombo","Thelawala","425","100.00"
"Colombo","Colombo","IDIBADDA","425","100.00"
"Colombo","Colombo","Pirivena rd","425","100.00"
"Colombo","Colombo","Hena rd","425","100.00"
"Colombo","Colombo","St.Marys Rd","425","100.00"
"Colombo","Colombo","St.Ritas rd","425","100.00"
"Colombo","Colombo","Ratmalana Beach Rd","425","100.00"
"Colombo","Colombo","Belekkade","425","100.00"
"Colombo","Colombo","Maliban Junction","425","100.00"
"Colombo","Colombo","Angoda","400","100.00"
"Colombo","Colombo","Rajagiriya","400","100.00"
"Colombo","Colombo","Nugegoda","400","100.00"
"Colombo","Colombo","Thalawathugoda","400","100.00"
"Colombo","Colombo","Kolonnawa","400","100.00"
"Colombo","Gampaha","Alawala","450","100.00"
"Colombo","Gampaha","Ambagaspitiya","450","100.00"
"Colombo","Gampaha","Balabowa","450","100.00"
"Colombo","Gampaha","Bemmulla","450","100.00"
"Colombo","Gampaha","Bollete","450","100.00"
"Colombo","Gampaha","Bopagama","450","100.00"
"Colombo","Gampaha","Buthpitiya","450","100.00"
"Colombo","Gampaha","Essella","450","100.00"
"Colombo","Gampaha","Kahatowita","450","100.00"
"Colombo","Gampaha","Kalagedihena","450","100.00"
"Colombo","Gampaha","Mudungoda","450","100.00"
"Colombo","Gampaha","Nedungamuwa","450","100.00"
"Colombo","Gampaha","Nikahetikanda","450","100.00"
"Colombo","Gampaha","Nittambuwa","450","100.00"
"Colombo","Gampaha","Ruggahawila","450","100.00"
"Colombo","Gampaha","Udathuthiripitiya","450","100.00"
"Colombo","Gampaha","Veyangoda","450","100.00"
"Colombo","Gampaha","Wathurugama","450","100.00"
"Colombo","Gampaha","Yakkala","450","100.00"
"Colombo","Gampaha","Attanagalla","450","100.00"
"Colombo","Gampaha","Gampaha","450","100.00"
"Colombo","Gampaha","Kahathowita","450","100.00"
"Colombo","Gampaha","Oruthota","450","100.00"
"Colombo","Gampaha","Horagolla","450","100.00"
"Colombo","Gampaha","Yagoda","450","100.00"
"Colombo","Gampaha","Maryland","450","100.00"
"Colombo","Gampaha","Malwathu hiripitiya","450","100.00"
"Colombo","Gampaha","Thihariya","450","100.00"
"Colombo","Gampaha","Udugampala","450","100.00"
"Colombo","Gampaha","Aluthepola","450","100.00"
"Colombo","Gampaha","Wathupitiwala","450","100.00"
"Colombo","Gampaha","Kinigama","450","100.00"
"Colombo","Gampaha","Bulugahagoda","450","100.00"
"Colombo","Gampaha","Galahitiyawa","450","100.00"
"Colombo","Gampaha","Belummahara","450","100.00"
"Colombo","Gampaha","Neelamahara","450","100.00"
